Year,Month,Day,Hour,Minute,Second,Temp(Sensor),Temp(WC),Hum(Sensor),Hum(WC),BatteryLevel,BatteryCharging,CloudForecast
2017,2,31,0,26,28,9.40,8.88888888888889,99.90,94,1,true,ERROR

2017,2,31,0,27,30,9.40,8.222222222222221,99.90,89,1,true,ERROR

2017,2,31,0,28,31,9.40,8.722222222222223,99.90,97,1,true,ERROR

2017,2,31,0,29,33,9.40,8.88888888888889,99.90,94,1,true,ERROR

2017,2,31,0,30,34,9.40,8.88888888888889,99.90,94,1,true,ERROR

2017,2,31,0,31,36,9.40,8.88888888888889,99.90,94,1,true,ERROR

2017,2,31,0,32,37,9.40,8.88888888888889,99.90,94,1,true,ERROR

2017,2,31,0,33,39,9.40,8.88888888888889,99.90,94,1,true,ERROR

2017,2,31,0,34,40,9.40,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,35,42,9.40,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,36,43,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,37,45,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,38,46,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,39,47,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,40,49,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,41,50,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,42,52,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,43,53,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,44,55,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,45,56,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,46,58,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,47,59,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,49,1,9.30,8.777777777777777,99.90,95,1,true,ERROR

2017,2,31,0,50,2,9.30,8.722222222222223,99.90,95,1,true,ERROR

2017,2,31,0,51,4,9.30,8.722222222222223,99.90,95,1,true,ERROR

